numNodos,numPagos,totalProcesos,tiempoSC_us,tamRafaga,tiempoEntreRafagas_ms,idealServicio_s,idealRafagas_s,tiempoReal_s,sobrecosteAlgoritmo_s,sobrecosteRafagas_s
8,500,4000,2000,50,10,8.000000,8.790000,8.020698,0.020698,-0.769302
8,500,4000,2000,100,10,8.000000,8.390000,9.258549,1.258549,0.868549
8,500,4000,2000,200,10,8.000000,8.190000,9.258292,1.258292,1.068292
8,500,4000,2000,500,10,8.000000,8.070000,9.300789,1.300789,1.230789
8,500,4000,2000,1000,10,8.000000,8.030000,9.290166,1.290166,1.260166
8,500,4000,2000,2000,10,8.000000,8.010000,9.233256,1.233256,1.223256
8,1000,8000,2000,50,10,16.000000,17.590000,18.823093,2.823093,1.233093
8,1000,8000,2000,100,10,16.000000,16.790000,17.324842,1.324842,0.534842
8,1000,8000,2000,200,10,16.000000,16.390000,17.315907,1.315907,0.925907
8,1000,8000,2000,1000,10,16.000000,16.070000,17.355799,1.355799,1.285799
8,1000,8000,2000,2000,10,16.000000,16.030000,17.808863,1.808863,1.778863
8,2000,16000,2000,50,10,32.000000,35.190000,36.054305,4.054305,0.864305
8,2000,16000,2000,100,10,32.000000,33.590000,36.368713,4.368713,2.778713
8,2000,16000,2000,200,10,32.000000,32.790000,36.640881,4.640881,3.850881
8,2000,16000,2000,500,10,32.000000,32.310000,36.490228,4.490228,4.180228
8,2000,16000,2000,1000,10,32.000000,32.150000,36.168667,4.168667,4.018667
8,2000,16000,2000,2000,10,32.000000,32.070000,36.629560,4.629560,4.559560
4,20,80,200000,5,500,16.000000,23.500000,15.988594,-0.011406,-7.511406
4,1000,4000,2000,50,10,8.000000,8.790000,7.776160,-0.223840,-1.013840
8,1000,8000,2000,50,10,16.000000,17.590000,18.817978,2.817978,1.227978
8,1000,8000,2000,50,10,16.000000,17.590000,18.904350,2.904350,1.314350
