numNodos,numPagos,totalProcesos,tiempoSC_us,tiempoIdeal_s,tiempoReal_s

4,1250,5000,2000,10.000000,11.300809
4,2500,10000,2000,20.000000,22.809954
4,3750,15000,2000,30.000000,33.948376
4,5000,20000,2000,40.000000,45.602932
8,625,5000,2000,10.000000,11.355473
8,1250,10000,2000,20.000000,22.618005
8,1875,15000,2000,30.000000,34.234701
8,2500,20000,2000,40.000000,45.954385
25,200,5000,2000,10.000000,11.391629
25,400,10000,2000,20.000000,22.585256
25,600,15000,2000,30.000000,35.132906
25,800,20000,2000,40.000000,45.935339
50,100,5000,2000,10.000000,11.435437
50,200,10000,2000,20.000000,22.539356
50,300,15000,2000,30.000000,34.118041
50,400,20000,2000,40.000000,46.178076
100,50,5000,2000,10.000000,11.440732
100,100,10000,2000,20.000000,22.708892
100,150,15000,2000,30.000000,34.788007
